albums,songs
0,22676
0,19687
0,24571
1,7137
2,22979
2,13768
2,3696
2,22613
2,2224
2,9208
2,5817
2,11801
2,22176
2,5819
2,20160
2,10755
2,14473
2,6253
2,5142
2,6020
2,135
2,9706
2,1027
2,6088
3,2127
3,15581
3,20770
3,5330
3,11197
4,11961
5,10984
5,20223
5,9071
5,4516
5,21471
5,18528
5,21405
5,24093
5,20569
5,3980
5,979
5,2311
5,20609
5,22831
5,10755
5,4887
5,19805
5,11412
5,10397
5,12557
6,7963
6,21437
6,4149
6,14464
6,513
6,24214
6,4434
6,13779
6,19087
6,8504
7,4723
7,12720
7,17892
7,6319
7,23771
7,22293
7,18725
7,22580
7,149
7,3597
7,4497
8,21454
8,487
8,22158
8,15102
8,16969
8,23634
8,23260
8,23795
8,16210
8,4425
8,4746
8,15040
8,14399
8,8779
8,4389
9,13171
9,6298
9,5795
9,16010
9,22467
9,3808
9,23879
9,16568
9,2607
10,11907
10,13089
10,20460
10,902
10,24648
10,15726
11,23681
11,263
11,13374
11,20870
11,21724
11,948
11,3064
11,1412
11,17563
11,24688
11,18311
11,10791
11,9025
11,10838
11,6292
11,22063
11,787
11,4410
12,13981
12,6852
12,21442
12,1881
12,6666
12,13999
12,18882
12,4664
12,14675
12,19034
12,24148
12,8168
12,23824
13,23124
13,9483
13,24300
13,24837
13,2927
13,12474
13,7890
13,11495
13,22878
13,6418
13,1631
13,10787
13,12715
13,10494
13,19452
13,6754
14,10117
14,21519
14,17347
14,23359
14,20951
14,23207
14,7429
14,10941
14,13398
14,4586
14,20832
15,19711
15,11840
15,20585
15,16476
16,4453
16,24195
16,19309
16,9682
16,15533
16,17950
16,4881
16,12091
16,22928
17,5934
17,21206
17,3510
17,18349
17,7676
17,4511
17,2463
17,19881
17,7930
17,1181
17,20264
18,13931
18,8925
18,4897
18,13530
18,8462
18,21003
18,13586
18,6981
18,22219
18,12408
18,5870
18,1703
18,12567
18,10043
19,777
20,8892
20,7337
20,1803
20,18512
20,5740
20,24550
20,548
20,15504
20,23300
20,6043
20,9730
20,1292
20,8627
21,12035
21,13712
21,13320
21,15222
21,14811
21,2948
21,22483
21,17782
21,8248
22,22637
22,885
22,6361
22,2427
22,15205
22,17922
22,8542
22,1906
22,8
22,19583
22,24472
22,19748
22,22095
22,8711
22,14695
22,24455
22,3384
22,513
22,4499
22,14958
23,18340
23,18775
23,17129
23,20135
23,13405
24,4689
24,5681
24,8680
24,6469
24,6735
24,10156
24,8813
24,20197
24,17085
24,13929
24,19681
24,78
24,8900
24,24227
24,21484
24,23865
24,6285
24,23871
24,21512
24,14506
25,10278
25,20901
25,2376
25,19341
25,18753
25,14789
25,6062
26,11956
26,12141
26,488
26,16265
26,23757
26,3857
26,13032
26,7040
26,13897
26,3517
26,2568
26,6847
26,3844
26,4779
27,10114
27,8644
27,24741
27,19442
27,20834
27,23428
27,11964
27,23147
27,4291
27,20157
27,4290
27,15333
27,15679
27,1613
27,2548
27,20449
27,16202
27,10472
28,35
28,7121
28,2770
28,15884
28,21687
28,5506
28,4078
28,24132
28,6833
28,10034
28,14933
28,13726
28,18490
29,10696
29,9742
29,18701
29,18702
29,22794
29,19255
29,24321
29,21751
29,14291
29,5660
29,20019
29,14668
29,23630
29,6188
29,21681
29,13891
30,8128
30,19822
30,18638
30,15040
30,1421
30,62
30,6559
30,10967
30,9438
30,24638
30,851
30,14586
30,17010
30,5352
31,3355
31,11300
31,3138
31,24929
31,15519
31,22407
31,13743
31,21455
31,17650
31,10853
31,16538
31,16400
31,17590
31,1454
31,17505
31,13217
31,12700
31,14220
31,3291
31,23381
32,8695
32,2039
32,5505
32,24106
32,1348
32,6691
32,14722
32,7786
32,21304
32,8759
32,4196
32,333
32,1637
32,2167
32,6468
32,11787
32,9549
32,23863
32,1446
32,5660
33,19256
33,6810
33,1361
33,24348
33,21284
33,7215
33,16581
33,7951
33,14090
33,11696
33,7213
34,1018
34,6469
34,8815
34,1092
34,7661
35,1565
35,17225
35,15816
35,14904
35,15911
35,14113
35,364
35,15096
35,291
35,24347
35,19431
35,8402
35,13352
35,5591
35,17004
35,8260
35,13494
36,4699
36,6209
36,20451
36,6121
36,8901
37,7868
37,4980
37,22860
37,9147
37,20123
37,20631
37,4953
38,11347
38,16597
38,13014
38,11398
38,8236
38,6985
38,8882
38,24099
38,11802
38,3891
38,14439
38,16290
38,2995
38,10179
38,13541
38,24919
38,14637
39,14764
39,1854
39,12855
39,1146
39,3571
39,23426
39,3336
39,14752
39,19062
39,22588
39,24248
39,21561
39,7330
39,23866
39,7823
39,21887
39,14969
39,13615
40,17474
40,2722
40,22677
40,16894
40,1655
40,24780
40,4385
40,12180
40,11728
41,22026
41,17251
41,23487
41,15650
41,24948
41,809
41,22318
41,10294
41,11382
41,20158
41,7802
41,9563
41,7171
41,12350
42,12023
42,18459
43,6279
43,19604
43,8457
43,9378
43,1057
43,7250
43,12494
43,5245
43,20361
43,20703
43,19412
43,4771
43,18860
43,22836
43,9120
43,5749
43,19493
43,15467
43,6899
43,20196
44,14253
44,21962
45,8980
45,9245
45,11225
45,3143
46,7400
46,2156
46,1672
47,9871
47,91
48,8469
48,19575
48,19511
48,6685
48,23982
48,13895
48,14207
48,24293
48,21086
49,11082
49,21506
49,17841
49,8779
49,4504
49,13871
50,16170
50,303
50,19039
50,1592
50,19401
50,21483
50,4998
50,22400
50,6013
50,8852
50,7585
50,18153
50,20107
50,2135
50,9576
50,8643
50,3527
51,2260
51,9091
51,15612
51,8888
51,13800
51,19982
51,13808
51,614
51,9428
51,6175
51,22455
51,20618
51,2067
51,13437
51,24834
52,19086
52,21106
52,15816
52,22184
52,12184
52,6136
52,6140
52,15277
52,19950
52,17556
52,4294
52,21683
52,155
52,3074
53,12553
53,11811
53,14134
53,11414
53,12685
53,22595
53,24871
53,4478
53,10274
53,3702
53,6690
53,11418
53,15383
53,4401
53,2971
53,4145
53,15994
53,21135
53,1529
53,14136
54,9454
54,4971
54,10346
54,17513
54,3784
54,995
54,6866
54,2255
55,18914
55,19644
55,22512
55,1768
55,22189
55,22378
55,6205
55,3152
55,3080
55,16016
55,22714
56,8328
56,22314
56,12564
56,11162
56,5692
56,14406
56,24730
56,1017
56,23235
56,19779
56,7622
57,12430
57,9888
57,5536
57,23875
57,8009
57,14186
57,8118
57,16233
57,22078
57,3089
57,16567
57,5512
57,22367
57,9615
57,11585
57,5619
57,17673
57,15464
57,13401
58,20095
58,3170
58,10570
58,24456
58,3276
58,3592
58,7851
58,11160
58,3901
58,17259
59,5969
59,1075
59,3883
59,7664
59,4013
59,14517
59,23358
59,17032
59,20410
59,7185
59,10594
60,19081
60,5045
60,5956
60,11276
60,3495
60,8811
60,16779
60,12051
60,2676
60,16357
60,17650
60,20859
60,15121
60,11493
61,6649
62,11872
62,10214
62,21287
62,22943
62,19413
62,18151
62,16413
62,4091
62,7238
62,15675
62,14416
62,8398
62,17488
62,8305
62,20483
62,19695
62,964
62,15372
63,21624
63,9609
63,470
64,14782
64,11192
64,13394
64,5981
64,7043
64,14361
64,24251
64,10607
64,182
64,17473
64,7925
64,12229
64,17781
64,16973
64,2050
64,19462
64,23113
65,22028
65,6917
65,20428
65,22663
65,21046
65,5735
65,15571
65,1118
65,22842
65,5678
65,3337
65,12261
65,16428
65,14442
65,5167
65,21113
66,5286
66,6051
66,11562
66,1960
66,19906
66,7250
66,10031
66,19373
66,11429
66,22968
66,19947
66,16506
67,15549
67,11030
67,22838
68,16465
68,1200
68,24656
