key,name
0,close harmony
1,honkyoku
2,luhya omutibo
3,technopop
4,heartland rock
5,jam rock
6,dirty rap
7,j'ouvert
8,club music
9,neotraditional country
10,ars nova
11,malawian jazz
12,calypso
13,indo jazz
14,early music
15,post-britpop
16,yukar
17,horrorcore
18,manding swing
19,manouche
20,electro hop
21,chillout
22,gender wayang
23,canrock
24,smooth jazz
25,cretan music
26,breakbeat hardcore
27,christian ska
28,kargyraa
29,chicago house
30,protopunk
31,kiwi rock
32,pansori
33,likanos
34,industrial death metal
35,nyatiti
36,twee pop
37,western swing
38,wood
39,drone music
40,mbube
41,go-go
42,tumba
43,soft rock
44,suite
45,grebo
46,mahori
47,euro
48,crossover music
49,musiqi-e assil
50,progressive electronic
51,guasca
52,gamad
53,mini compas
54,breakcore
55,adult contemporary music
56,ramvong
57,cowpunk
58,folk punk
59,olonkho
60,zapin
61,hands up
62,new orleans jazz
63,dodompa
64,harepa
65,surf rock
66,gnawa
67,peyote song
68,kansas city blues
69,visual music
70,electronic music
71,rapcore
72,death/doom
73,montuno
74,newgrass
75,k-pop
76,frenchcore
77,parody
78,power electronics
79,midwest hip hop
80,batucada
81,folk rock
82,pop music
83,piano blues
84,soca
85,benga
86,bubblegum dance
87,psychedelic music
88,ghazal
89,symphonic poem
90,medh
91,malaguenas
92,surf instrumental
93,memphis rap
94,kpanlogo
95,punta rock
96,crunk&b
97,taiwanese pop
98,neo-prog
99,dombola
100,euro disco
101,tambu
102,habanera
103,legenyes
104,concerto grosso
105,disco house
106,southern soul
107,pleng thai sakorn
108,neo-classical metal
109,big beat
110,free music
111,tango
112,nanguan
113,super eurobeat
114,piphat
115,parranda
116,scottish baroque music
117,taarab
118,ragtime
119,merengue
120,deep house
121,fusion jazz
122,hyphy
123,art rock
124,multicultural
125,classical music era
126,paranda
127,sakara
128,mbaqanga
129,burger-highlife
130,ca din tulnic
131,psychedelic rock
132,bakou
133,country gospel
134,songo
135,virelai
136,chillwave
137,uk garage
138,shidaiqu
139,screamo
140,dirge
141,quadrille
142,middle of the road
143,chinese pop
144,latin rap
145,museve
146,britfunk
147,darkwave
148,nightcore
149,punk cabaret
150,cueca
151,calenda
152,tappa
153,gamelan buh
154,khyal
155,hip house
156,gamelan bang
157,island
158,religious
159,salsa romantica
160,australian pub rock
161,electro
162,nagauta
163,corrido
164,manikay
165,gaikyoku
166,bluegrass
167,second viennese school
168,schlager
169,ambient music
170,southern rock
171,turkish pop
172,chongak
173,turbo-folk
174,forro
175,desi
176,honky tonk
177,polka
178,orgel
179,sadcore
180,doina
181,country music
182,lundum
183,progressive house
184,lullaby
185,african popular music
186,cai luong
187,rimur
188,salegy
189,americana
190,gamelan degung
191,technical metal
192,hi-nrg
193,krautrock
194,comic opera
195,neo kyma
196,mandarin pop
197,full on
198,chicken scratch
199,mbumba
200,iscathamiya
201,cuddlecore
202,brutal death metal
203,industrial rock
204,urban cowboy
205,show tune
206,space rock
207,minstrel show
208,kaiso
209,celtic reggae
210,long-song
211,pop
212,shalako
213,dirty rap/pornocore
214,bantowbol
215,baila
216,sonata
217,celtic punk
218,klape
219,punta
220,chicha
221,zydeco
222,mapouka-serre
223,funk rock
224,jive
225,pornocore
226,modinha
227,folk metal
228,foaie verde
229,bulerias
230,grunge
231,jangle pop
232,texas blues
233,monumental dance
234,bhangra
235,rare groove
236,togaku
237,disney
238,heart attack
239,impressionist music
240,art punk
241,matt bello
242,stride
243,new taiwanese song
244,dark cabaret
245,detroit blues
246,cho-kantrum
247,melhoun
248,deep soul
249,electronic art music
250,nu jazz
251,izvorna bosanska muzika
252,beautiful music
253,mohabelo
254,hardcore metal
255,blackened death metal
256,melhun
257,emo pop
258,jing ping
259,german folk music
260,work song
261,panchai baja
262,nederpop
263,baiao
264,kantrum
265,ambient house
266,liquindi
267,cheo
268,maglaal
269,gending
270,sunshine pop
271,tech house
272,reggaeton
273,eremwu eu
274,milonga
275,squee
276,pimba
277,guaguanbo
278,pop punk
279,symphony
280,g-funk
281,ezengileer
282,llanera
283,alternative metal
284,jazz
285,raga
286,traditional bluegrass
287,granadinas
288,electronic luk thung
289,raga rock
290,italo house
291,trip hop
292,country
293,two tone
294,gharbi
295,kun-borrk
296,dirty dutch
297,kochare
298,murga
299,gamewave
300,nueva cancion
301,cabaret
302,southern gospel
303,gypsybilly
304,roots reggae
305,desert rock
306,compas meringue
307,old school hip hop
308,gavotte
309,bajourou
310,light rock
311,joropo
312,nota
313,norteno
314,classic
315,rock en espanol
316,eurourban
317,grime
318,post-industrial
319,folk hop
320,baroque pop
321,industrial metal
322,ghazal-song
323,darkcore
324,kliningan
325,miami bass
326,nakasi
327,chopera
328,big band music
329,chamber pop
330,delta blues
331,gamelan semar pegulingan
332,hat tuong
333,rekilaulu
334,filk
335,enka
336,baroque music
337,boogie-woogie
338,melodic music
339,kawachi ondo
340,surf pop
341,group sounds
342,kleftiko
343,barndance
344,noise music
345,balakadri
346,were music
347,motown
348,rap rock
349,tejano music
350,changui
351,disney hardcore
352,pinoy rock
353,witch house
354,organic ambient
355,thai pop
356,acid rock
357,donegal fiddle tradition
358,new romantic
359,power pop
360,qawwali
361,jazz-funk
362,math rock
363,cardiowave
364,rumba
365,hajnali
366,isicathamiya
367,chemical breaks
368,carol
369,eurobeat
370,slide
371,post-hardcore
372,filmi
373,fuji music
374,christian rock
375,outsider music
376,trance
377,string
378,contemporary christian
379,charanga-vallenata
380,obscuro
381,rondeaux
382,zouklove
383,brazilian jazz
384,dalauna
385,tamil christian keerthanai
386,country r&b
387,cybergrind
388,partido alto
389,chimurenga
390,shoegazer
391,filmi-ghazal
392,chamber music
393,house music
394,kachashi
395,patriotic
396,viking metal
397,tin pan alley
398,jarochos
399,mangulina
400,chicago blues
401,seis
402,hardstyle
403,celempungan
404,alternative rock
405,nortec
406,blues-rock
407,burgundian school
408,laiko
409,europop
410,mini-jazz
411,slack-key guitar
412,canto nuevo
413,lundu
414,hat cai luong
415,wangga
416,pagan metal
417,experimental rock
418,celtic fusion
419,saltarello
420,danza
421,colombianas
422,levenslied
423,palm wine
424,sygyt
425,lo-fi music
426,thrash metal
427,indian pop
428,musique concrete
429,cuban rumba
430,cante chico
431,punk blues
432,xhosa music
433,fofa
434,kilapanda
435,marabi
436,acid breaks
437,philadelphia soul
438,romantic period in music
439,cana
440,darkstep
441,zouk chouv
442,west coast jazz
443,christian electronic music
444,jitterbug
445,western blues
446,folk music
447,de codru
448,nu metal
449,vocal jazz
450,martial industrial
451,gamelan kebyar
452,bitcore
453,twist
454,acid jazz
455,khorovodi
456,dark pop
457,marga
458,chinese music
459,chylandyk
460,dubanguthu
461,parang
462,brukdown
463,nardcore
464,traditional pop music
465,beiguan
466,dangdut
467,danzon
468,beat
469,kompa
470,new instrumental
471,ghettotech
472,incidental music
473,cassey-co
474,doom metal
475,oriental metal
476,alternative country
477,ragga
478,karma
479,musica tropical
480,maloya
481,pop sunda
482,electro punk
483,motorpop
484,rasiya
485,drum and bass
486,kecak
487,minuet
488,austropop
489,hunguhungu
490,cumbia villera
491,choro
492,iranian pop
493,southern hip hop
494,doo wop
495,minimal techno
496,marrabenta
497,maxixe
498,caveman
499,brill building pop
500,kaseko
501,charikawi
502,neo soul
503,organ trio
504,gaana
505,fricote
506,scrumpy and western
507,electronic dance
508,jungle
509,baithak gana
510,drone doom
511,guitarra baiana
512,xoomii
513,progressive trance
514,thillana
515,kalattuut
516,polo
517,blues
518,synthpunk
519,t'ong guitar
520,gagaku
521,pagode
522,ballata
523,rhythm & blues
524,neoclassical
525,rockabilly
526,jujitsu
527,baisha xiyue
528,villanella
529,swingbeat
530,lhamo
531,southern metal
532,manaschi
533,schottisch
534,chumba
535,4-beat
536,saibara
537,country-rap
538,avant-garde jazz
539,guoyue
540,dabka
541,kertok
542,italo disco
543,jazz fusion
544,background music
545,southern harmony
546,straight edge
547,melodic death metal
548,neofolk
549,arabesque
550,relax music
551,set dance
552,pasillo
553,chinese rock
554,merseybeat
555,cante jondo
556,nisiotika
557,decima
558,kayokyoku
559,nashville sound/countrypolitan
560,khap
561,sica
562,chanson
563,afrobeat
564,huayno
565,post-grunge
566,free jazz
567,ambient
568,electric folk
569,video game music
570,surf music
571,digital hardcore
572,sevillana
573,hula
574,lavway
575,falak
576,red dirt
577,jazz rap
578,indoyiftika
579,ethereal wave
580,australian hip hop
581,kutumba wake
582,serialism
583,campursari
584,emotronic
585,christian metal
586,isolationist
587,cothoza mfana
588,cardas
589,kamba pop
590,clicks n cuts
591,harmonica blues
592,hat cheo
593,cassette culture
594,melodic metalcore
595,trikitixa
596,chicago soul
597,djent
598,rada
599,music hall
600,eurodance
601,death industrial
602,madrigal
603,musica criolla
604,heavy beat
605,j-rock
606,minimalist trance
607,ricercar
608,khaleeji
609,symphonic black metal
610,furniture music
611,cantata
612,sean nos
613,zeuhl
614,lovers rock
615,mexican pop
616,igbo music
617,techstep
618,hard
619,dub
620,tembang sunda
621,venezuela
622,musica de la interior
623,siguiriyas
624,hiragasy
625,trad jazz
626,highlife
627,kwassa kwassa
628,quiet storm
629,medieval folk rock
630,new weird america
631,meringue
632,electronic rock
633,electrofunk
634,neue deutsche welle
635,jota
636,lucknavi thumri
637,ramkbach
638,ape haters
639,british blues
640,chant
641,hardcore techno
642,narcocorrido
643,volksmusik
644,musica llanera
645,fandango
646,grupera
647,french pop
648,isikhwela jo
649,krakowiak
650,jawaiian
651,new wave of british heavy metal
652,canterbury scene
653,tech
654,combined rhythm
655,sacred harp
656,orchestra
657,medieval metal
658,dub house
659,gamelan
660,death rock
661,weld
662,crunk
663,humppa
664,semba
665,christian black metal
666,skacore
667,khrung sai
668,mass
669,bhangra-wine
670,sufi music
671,champeta
672,kinko
673,hardcore hip hop
674,pong lang
675,aleatoric music
676,louisiana blues
677,djambadon
678,metalcore
679,downtempo
680,house
681,shango
682,celtic metal
683,nongak
684,son montuno
685,tribal house
686,le leagan
687,kadans
688,plena
689,free improvisation
690,hakka
691,mexican rock
692,kele
693,christmas music
694,hong kong english pop
695,gwo ka moderne
696,uk pub rock
697,powerviolence
698,nerdcore
699,irish folk
700,guitarradas
701,acid
702,magnificat
703,new wave
704,hard house
705,kriti
706,bac-bal
707,coimbra fado
708,funk metal
709,silat
710,gwo ka
711,meykhana
712,tropicalia
713,chouval bwa
714,avant-garde metal
715,ghetto house
716,raggamuffin
717,tekno
718,shoegaze
719,axe
720,rock
721,bossa nova
722,cape jazz
723,danger music
724,chutney-bhangra
725,thrashcore
726,boogie
727,electric blues
728,beatboxing
729,mushroom jazz
730,suomirock
731,garrotin
732,ragga jungle
733,kwela
734,frevo
735,progressive rock
736,industrial music
737,morna
738,son-bata
739,shabab
740,ranchera
741,fife and drum blues
742,tai tu
743,dhrupad
744,tiento
745,goa trance
746,bunraku
747,degung
748,panchavadyam
749,m-base
750,vaudeville
751,classical music
752,rock and roll
753,mango
754,gyu ke
755,charanga
756,byzantine chant
757,gamelan angklung
758,juke joint blues
759,j-fusion
760,shomyo
761,hambo
762,dance-pop
763,son
764,ye-ye
765,verismo
766,rhythm and blues
767,muzak
768,lo-fi
769,wizard rock
770,britpop
771,bihu
772,joik
773,scat
774,gamelan bebonangan
775,balinese gamelan
776,mineras
777,bel canto
778,cool jazz
779,ziglibithy
780,beach music
781,melodic trance
782,zulu music
783,ska punk
784,slowcore
785,la la
786,maskanda
787,miroloyia
788,nasheed
789,gelugpa chanting
790,rococo
791,urban folk
792,tamburitza
793,wonky pop
794,kundiman
795,national socialist black metal
796,kundere
797,christian r&b
798,ca tru
799,new age music
800,kalinda
801,concert overture
802,gammeldans
803,vocal house
804,alternative dance
805,sevdalinka
806,balkan pop
807,trallalero
808,halling
809,metallic hardcore
810,taranto
811,soukous
812,old-time
813,canon
814,sega music
815,trip-hop
816,baile funk
817,improvisational
818,musica nordestina
819,tibetan pop
820,bambuco
821,sprechgesang
822,pleng phua cheewit
823,jesus music
824,post-romanticism
825,hyangak
826,disco polo
827,jingle
828,biguine
829,ijexa
830,singer-songwriter
831,christian alternative
832,progressive country
833,gumbe
834,mapouka
835,piedmont blues
836,east coast blues
837,fuji
838,thumri
839,classic country
840,tanguk
841,rembetiko
842,liquid drum&bass
843,metal
844,kumina
845,nintendocore
846,indonesian pop
847,truck-driving country
848,seggae
849,shima uta
850,konpa
851,new beat
852,steelband
853,electro-swing
854,chut-kai-pang
855,punk rock
856,alternative hip hop
857,banda
858,chutney soca
859,mejorana
860,new york house
861,kroncong
862,square dance
863,jaliscienses
864,glitch
